time_delta[ms],accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,battery[V],last_motion[s]
0.01,-525,1418,-16155,-19,7,-11,0.00,0.00
35.43,-581,1530,-16222,-19,5,-10,0.00,0.00
46.76,-611,1544,-16175,-18,7,-10,0.00,0.00
49.96,-623,1548,-16235,-17,9,-9,0.00,0.00
50.02,-743,1622,-16190,-17,10,-10,0.00,0.00
50.00,-709,1672,-16228,-20,10,-10,0.00,0.00
49.99,-770,1689,-16159,-18,6,-8,0.00,0.05
49.96,-794,1789,-16192,-19,7,-11,0.00,0.10
50.04,-851,1781,-16191,-21,6,-9,0.00,0.15
50.00,-898,1892,-16229,-19,6,-10,0.00,0.20
50.02,-933,1945,-16185,-21,5,-12,0.00,0.25
49.97,-957,1966,-16214,-21,9,-9,0.00,0.30
49.97,-1039,2043,-16037,-18,7,-10,0.00,0.35
50.10,-1083,2073,-16146,-19,9,-10,0.00,0.40
49.95,-1083,2177,-16093,-17,12,-10,0.00,0.45
49.98,-1136,2259,-16023,-18,9,-10,0.00,0.50
50.02,-1217,2288,-16081,-17,7,-10,0.00,0.55
49.96,-1266,2356,-16065,-18,7,-9,0.00,0.60
53.20,-1300,2424,-16087,-18,5,-9,0.00,0.65
50.00,-1418,2573,-16140,-20,10,-8,0.00,0.70
49.99,-1453,2617,-16020,-18,10,-10,0.00,0.75
50.00,-1475,2680,-16029,-19,5,-11,0.00,0.80
50.02,-1566,2736,-15967,-19,6,-9,0.00,0.85
49.98,-1640,2836,-15882,-19,10,-10,0.00,0.90
50.06,-1692,2980,-15821,-19,9,-9,0.00,0.96
49.94,-1784,3016,-15820,-20,7,-9,0.00,1.00
49.98,-1831,3146,-15780,-19,11,-9,0.00,1.05
50.03,-1927,3221,-15829,-18,7,-11,0.00,1.10
49.99,-1937,3301,-15833,-18,7,-9,0.00,1.15
49.99,-2050,3459,-15804,-18,9,-11,0.00,1.20
50.02,-2176,3594,-15758,-17,6,-11,0.00,1.25
50.00,-2325,3704,-15723,-19,9,-7,0.00,1.30
49.99,-2393,3809,-15689,-18,8,-9,0.00,1.35
50.02,-2473,3893,-15624,-19,6,-7,0.00,1.40
49.98,-2512,4126,-15541,-20,5,-8,0.00,1.45
49.99,-2616,4201,-15561,-19,10,-7,0.00,1.50
50.08,-2720,4314,-15406,-22,8,-10,0.00,1.56
49.94,-2857,4510,-15358,-21,11,-7,0.00,1.60
49.98,-2954,4658,-15321,-19,8,-8,0.00,1.65
50.02,-3067,4762,-15254,-19,8,-8,0.00,1.70
50.00,-3189,4952,-15151,-21,9,-7,0.00,1.75
49.98,-3331,5147,-15158,-19,11,-6,0.00,1.80
50.03,-3414,5240,-14900,-20,8,-7,0.00,1.85
49.98,-3625,5414,-14956,-19,11,-6,0.00,1.90
50.00,-3738,5589,-14813,-19,11,-6,0.00,1.95
50.02,-3837,5838,-14730,-19,11,-4,0.00,2.00
49.99,-3997,5972,-14600,-20,11,-3,0.00,2.05
50.06,-4195,6198,-14567,-22,10,-5,0.00,2.11
49.95,-4328,6339,-14387,-20,9,-4,0.00,2.15
49.97,-4486,6567,-14287,-22,11,-2,0.00,2.20
50.03,-4586,6787,-14012,-20,8,-3,0.00,2.25
49.99,-4729,6968,-13937,-19,9,-4,0.00,2.30
49.98,-4928,7190,-13712,-21,8,-3,0.00,2.35
50.03,-5122,7419,-13564,-20,9,-4,0.00,2.40
49.98,-5288,7745,-13389,-21,9,-4,0.00,2.45
50.00,-5473,7919,-13233,-21,11,2,0.00,2.50
50.02,-5603,8085,-12903,-22,10,-1,0.00,2.55
49.99,-5790,8374,-12718,-21,10,-2,0.00,2.60
49.99,-5980,8566,-12524,-22,9,-1,0.00,2.65
50.06,-6192,8751,-12302,-23,10,-1,0.00,2.71
49.96,-6365,8998,-11986,-21,9,1,0.00,2.75
49.97,-6531,9240,-11736,-19,13,0,0.00,2.80
50.03,-6691,9443,-11350,-19,13,1,0.00,2.85
49.98,-6919,9635,-11029,-20,12,1,0.00,2.90
50.00,-7045,9938,-10695,-21,14,1,0.00,2.95
50.02,-7220,10197,-10457,-23,13,4,0.00,3.00
50.00,-7451,10399,-9973,-18,12,5,0.00,3.05
49.99,-7603,10654,-9672,-19,10,7,0.00,3.10
50.02,-7819,10809,-9229,-21,12,7,0.00,3.15
49.98,-7923,11062,-8833,-21,9,5,0.00,3.20
49.99,-8147,11294,-8415,-19,11,7,0.00,3.25
50.07,-8346,11528,-7975,-21,7,6,0.00,3.31
49.95,-8475,11714,-7466,-19,10,9,0.00,3.35
49.97,-8652,11830,-7011,-21,10,8,0.00,3.40
50.03,-8831,12094,-6521,-20,8,10,0.00,3.45
49.99,-8995,12252,-5972,-19,10,11,0.00,3.50
50.00,-9001,12358,-5505,-20,8,11,0.00,3.55
50.00,-9203,12549,-4919,-18,6,10,0.00,3.60
49.99,-9293,12616,-4312,-18,6,10,0.00,3.65
50.02,-9442,12739,-3777,-21,6,11,0.00,3.70
49.99,-9471,12807,-3215,-19,6,13,0.00,3.75
49.99,-9613,12966,-2608,-18,8,12,0.00,3.80
50.08,-9568,12934,-2027,-16,7,15,0.00,3.86
49.93,-9730,12969,-1399,-19,5,14,0.00,3.90
49.99,-9753,13007,-828,-16,6,16,0.00,3.95
50.02,-9672,13007,-240,-15,7,16,0.00,4.00
50.00,-9724,13028,369,-16,4,16,0.00,4.05
49.98,-9737,12949,969,-15,2,16,0.00,4.10
50.03,-9702,12885,1604,-15,5,19,0.00,4.15
49.99,-9721,12820,2181,-14,3,17,0.00,4.20
49.99,-9585,12753,2727,-16,2,17,0.00,4.25
50.02,-9579,12665,3385,-7,6,22,0.00,4.30
49.98,-9481,12382,3900,-15,-1,15,0.00,4.35
50.00,-9351,12461,4470,-10,0,24,0.00,4.40
50.08,-9394,12275,5055,-12,0,18,0.00,4.46
49.94,-9283,12106,5614,-17,-4,18,0.00,4.50
49.98,-9149,11949,6026,-10,-4,22,0.00,4.55
50.02,-9080,11928,6654,-16,-5,18,0.00,4.60
49.99,-7950,11112,6034,-35,-13,1,0.00,4.65
49.98,-9912,15044,10217,-7,-25,54,0.00,0.00
50.02,-9105,11904,8090,-1,-6,26,0.00,0.00
50.01,-7759,10707,8064,-2,-7,30,0.00,0.05
49.97,-7983,10463,8604,-13,-6,19,0.00,0.00
50.03,-8188,10395,9248,-27,-6,8,0.00,0.05
49.98,-8145,10339,9699,-6,-8,26,0.00,0.10
49.99,-7860,10294,10345,-11,-9,18,0.00,0.15
50.07,-7790,9904,10655,-10,-6,16,0.00,0.20
49.94,-7508,9345,10782,-15,-9,12,0.00,0.25
49.98,-7317,9207,11249,-11,-8,17,0.00,0.30
50.02,-7179,9052,11458,-5,-9,23,0.00,0.35
50.00,-7496,5215,8596,4,-17,31,0.00,0.40
49.98,-7050,6257,13530,60,14,68,0.00,0.00
50.02,-4338,7766,13799,27,-21,42,0.00,0.00
50.01,-14709,8964,11283,-657,-2024,2333,0.00,0.05
49.97,-13019,18950,11861,-263,-845,-472,0.00,0.00
50.02,-12862,15995,19669,-272,712,1535,0.00,0.00
50.00,-9729,11331,20415,277,-258,1,0.00,0.00
50.05,-6514,10342,22336,497,532,551,0.00,0.00
49.96,-5295,6992,21301,227,-91,190,0.00,0.05
49.98,-5575,5924,18592,148,-483,270,0.00,0.00
50.01,-4740,4900,15173,-16,-486,-338,0.00,0.00
50.01,-5101,4352,11164,-98,-529,145,0.00,0.00
49.98,-4716,4497,9699,-272,-3,335,0.00,0.00
50.02,-6626,4605,9750,-205,-163,255,0.00,0.00
49.99,-8964,5769,8878,-392,-257,3,0.00,0.00
50.02,-6055,6688,9386,29,657,-401,0.00,0.05
49.98,-4468,6366,9129,142,1086,230,0.00,0.10
50.00,-3238,6327,9350,346,876,-128,0.00,0.00
50.07,-2157,8068,8416,577,854,-225,0.00,0.05
49.95,-1209,7031,9995,966,809,20,0.00,0.10
49.98,-1269,7467,10077,904,282,-1175,0.00,0.15
50.02,-303,8150,13669,1206,-395,-1704,0.00,0.20
49.98,-416,7596,16522,2208,-333,-950,0.00,0.00
49.99,-188,2192,19144,2386,-129,-454,0.00,0.00
50.02,-4321,-4867,18655,1565,19,-1630,0.00,0.00
50.00,949,1785,17256,1080,1045,-1628,0.00,0.00
50.01,2668,865,20302,1261,270,-450,0.00,0.05
49.98,-269,-234,18918,693,-264,-1275,0.00,0.00
50.00,873,-172,15034,12,1928,-1226,0.00,0.05
50.06,-615,-1263,12082,-1546,1287,-784,0.00,0.00
49.96,-1179,-356,13081,-2365,200,-396,0.00,0.00
49.97,888,757,12165,-2689,119,339,0.00,0.00
50.02,-2866,300,12099,-1793,-150,872,0.00,0.00
50.00,-4264,1843,13711,-1552,-241,944,0.00,0.05
50.00,-5583,579,16335,-2106,-373,105,0.00,0.00
50.00,-5540,1462,16010,-1981,-235,-174,0.00,0.00
